Visitor,Visitor pts,Home,Home pts,Winner
Golden State Warriors,99,Brooklyn Nets,125,1
Los Angeles Clippers,116,Los Angeles Lakers,109,0
Charlotte Hornets,114,Cleveland Cavaliers,121,1
New York Knicks,107,Indiana Pacers,121,1
Miami Heat,107,Orlando Magic,113,1
Washington Wizards,107,Philadelphia 76ers,113,1
New Orleans Pelicans,113,Toronto Raptors,99,0
Milwaukee Bucks,121,Boston Celtics,122,1
Atlanta Hawks,124,Chicago Bulls,104,0
San Antonio Spurs,131,Memphis Grizzlies,119,0
Detroit Pistons,101,Minnesota Timberwolves,111,1
Sacramento Kings,124,Denver Nuggets,122,0
Utah Jazz,120,Portland Trail Blazers,100,0
Dallas Mavericks,102,Phoenix Suns,106,1
New Orleans Pelicans,98,Miami Heat,111,1
Golden State Warriors,99,Milwaukee Bucks,138,1
Brooklyn Nets,123,Boston Celtics,95,0
Dallas Mavericks,115,Los Angeles Lakers,138,1
Los Angeles Clippers,121,Denver Nuggets,108,0
Atlanta Hawks,122,Memphis Grizzlies,112,0
Oklahoma City Thunder,109,Charlotte Hornets,107,0
Cleveland Cavaliers,128,Detroit Pistons,119,0
Orlando Magic,130,Washington Wizards,120,0
Philadelphia 76ers,109,New York Knicks,89,0
Indiana Pacers,125,Chicago Bulls,106,0
Toronto Raptors,114,San Antonio Spurs,119,1
Minnesota Timberwolves,116,Utah Jazz,111,0
Houston Rockets,126,Portland Trail Blazers,128,1
Phoenix Suns,103,Sacramento Kings,106,1
Dallas Mavericks,124,Los Angeles Clippers,73,0
San Antonio Spurs,95,New Orleans Pelicans,98,1
Orlando Magic,120,Washington Wizards,113,0
Brooklyn Nets,104,Charlotte Hornets,106,1
Philadelphia 76ers,94,Cleveland Cavaliers,118,1
Milwaukee Bucks,110,New York Knicks,130,1
Boston Celtics,107,Indiana Pacers,108,1
Golden State Warriors,129,Chicago Bulls,128,0
Phoenix Suns,116,Sacramento Kings,100,0
Minnesota Timberwolves,91,Los Angeles Lakers,127,1
Memphis Grizzlies,116,Brooklyn Nets,111,0
Detroit Pistons,120,Atlanta Hawks,128,1
Utah Jazz,110,Oklahoma City Thunder,109,0
Houston Rockets,111,Denver Nuggets,124,1
Portland Trail Blazers,115,Los Angeles Lakers,107,0
New York Knicks,95,Cleveland Cavaliers,86,0
Golden State Warriors,116,Detroit Pistons,106,0
Boston Celtics,116,Indiana Pacers,111,0
Chicago Bulls,115,Washington Wizards,107,0
Toronto Raptors,93,Philadelphia 76ers,100,1
Milwaukee Bucks,144,Miami Heat,97,0
Orlando Magic,118,Oklahoma City Thunder,107,0
New Orleans Pelicans,86,Phoenix Suns,111,1
Denver Nuggets,115,Sacramento Kings,125,1
Minnesota Timberwolves,101,Los Angeles Clippers,124,1
Milwaukee Bucks,108,Miami Heat,119,1
Atlanta Hawks,141,Brooklyn Nets,145,1
Memphis Grizzlies,107,Boston Celtics,126,1
Charlotte Hornets,118,Dallas Mavericks,99,0
Los Angeles Lakers,121,San Antonio Spurs,107,0
Portland Trail Blazers,105,Los Angeles Clippers,128,1
Cleveland Cavaliers,99,Indiana Pacers,119,1
Chicago Bulls,133,Washington Wizards,130,0
Philadelphia 76ers,116,Orlando Magic,92,0
Sacramento Kings,119,Houston Rockets,122,1
New York Knicks,83,Toronto Raptors,100,1
New Orleans Pelicans,113,Oklahoma City Thunder,80,0
Phoenix Suns,106,Utah Jazz,95,0
Memphis Grizzlies,108,Charlotte Hornets,93,0
Miami Heat,83,Dallas Mavericks,93,1
Boston Celtics,93,Detroit Pistons,96,1
Atlanta Hawks,114,Brooklyn Nets,96,0
Chicago Bulls,96,Milwaukee Bucks,126,1
Washington Wizards,130,Minnesota Timberwolves,109,0
Los Angeles Lakers,109,San Antonio Spurs,103,0
Phoenix Suns,106,Denver Nuggets,103,0
Los Angeles Clippers,100,Utah Jazz,106,1
Portland Trail Blazers,123,Golden State Warriors,98,0
Sacramento Kings,94,Houston Rockets,102,1
New York Knicks,106,Indiana Pacers,102,0
Oklahoma City Thunder,108,Orlando Magic,99,0
Charlotte Hornets,112,Philadelphia 76ers,127,1
Cleveland Cavaliers,96,Atlanta Hawks,91,0
Toronto Raptors,116,New Orleans Pelicans,120,1
Boston Celtics,122,Detroit Pistons,120,0
Washington Wizards,123,Brooklyn Nets,122,0
Los Angeles Lakers,108,Memphis Grizzlies,94,0
Denver Nuggets,124,Minnesota Timberwolves,109,0
Utah Jazz,130,San Antonio Spurs,109,0
Dallas Mavericks,108,Chicago Bulls,118,1
Los Angeles Clippers,112,Phoenix Suns,107,0
Portland Trail Blazers,122,Golden State Warriors,137,1
Cleveland Cavaliers,83,Orlando Magic,103,1
Charlotte Hornets,101,Philadelphia 76ers,118,1
New York Knicks,113,Atlanta Hawks,108,0
Oklahoma City Thunder,90,Miami Heat,118,1
Boston Celtics,126,Toronto Raptors,114,0
Dallas Mavericks,113,Houston Rockets,100,0
Detroit Pistons,115,Milwaukee Bucks,125,1
Indiana Pacers,118,New Orleans Pelicans,116,0
Sacramento Kings,106,Golden State Warriors,137,1
Utah Jazz,96,Brooklyn Nets,130,1
Los Angeles Lakers,94,Memphis Grizzlies,92,0
Minnesota Timberwolves,116,Denver Nuggets,123,1
San Antonio Spurs,116,Los Angeles Clippers,113,0
Chicago Bulls,111,Portland Trail Blazers,108,0
Houston Rockets,107,Indiana Pacers,114,1
Cleveland Cavaliers,94,Orlando Magic,105,1
Washington Wizards,136,Philadelphia 76ers,141,1
Charlotte Hornets,102,Atlanta Hawks,94,0
Boston Celtics,107,Miami Heat,105,0
Utah Jazz,100,New York Knicks,112,1
Detroit Pistons,115,Milwaukee Bucks,130,1
Oklahoma City Thunder,111,New Orleans Pelicans,110,0
Toronto Raptors,115,Phoenix Suns,123,1
Los Angeles Clippers,108,Golden State Warriors,101,0
Chicago Bulls,124,Sacramento Kings,128,1
Philadelphia 76ers,109,Brooklyn Nets,122,1
Cleveland Cavaliers,94,Memphis Grizzlies,90,0
Dallas Mavericks,124,Denver Nuggets,117,0
San Antonio Spurs,118,Los Angeles Lakers,109,0
Minnesota Timberwolves,117,Portland Trail Blazers,135,1
Phoenix Suns,105,Detroit Pistons,110,1
Washington Wizards,107,Boston Celtics,116,1
Charlotte Hornets,118,New Orleans Pelicans,110,0
Oklahoma City Thunder,101,New York Knicks,89,0
Orlando Magic,90,Houston Rockets,132,1
Brooklyn Nets,110,Memphis Grizzlies,115,1
Utah Jazz,131,Milwaukee Bucks,118,0
Los Angeles Clippers,105,Golden State Warriors,115,1
Chicago Bulls,115,Los Angeles Lakers,117,1
Toronto Raptors,144,Sacramento Kings,123,0
Denver Nuggets,115,Philadelphia 76ers,103,0
Atlanta Hawks,105,Charlotte Hornets,113,1
Phoenix Suns,125,Indiana Pacers,117,0
Miami Heat,128,Washington Wizards,124,0
Cleveland Cavaliers,90,Milwaukee Bucks,100,1
San Antonio Spurs,125,Minnesota Timberwolves,122,0
Orlando Magic,98,Dallas Mavericks,112,1
Portland Trail Blazers,125,Sacramento Kings,99,0
Utah Jazz,96,Detroit Pistons,86,0
Chicago Bulls,127,Los Angeles Clippers,130,1
Oklahoma City Thunder,129,Brooklyn Nets,116,0
Denver Nuggets,114,New York Knicks,89,0
Los Angeles Lakers,120,Houston Rockets,102,0
San Antonio Spurs,88,Minnesota Timberwolves,96,1
Toronto Raptors,105,Golden State Warriors,106,1
New York Knicks,88,Charlotte Hornets,109,1
Memphis Grizzlies,101,Cleveland Cavaliers,91,0
Milwaukee Bucks,121,Orlando Magic,99,0
Phoenix Suns,107,Washington Wizards,128,1
Philadelphia 76ers,94,Atlanta Hawks,112,1
Toronto Raptors,111,Portland Trail Blazers,112,1
Indiana Pacers,122,Sacramento Kings,127,1
Miami Heat,134,Philadelphia 76ers,137,1
Denver Nuggets,116,Brooklyn Nets,122,1
Utah Jazz,117,Cleveland Cavaliers,87,0
Los Angeles Lakers,117,Houston Rockets,100,0
San Antonio Spurs,112,Oklahoma City Thunder,102,0
Indiana Pacers,104,Golden State Warriors,95,0
Dallas Mavericks,104,Charlotte Hornets,93,0
Milwaukee Bucks,110,Detroit Pistons,101,0
Brooklyn Nets,116,New York Knicks,109,0
Memphis Grizzlies,118,Minnesota Timberwolves,107,0
Los Angeles Lakers,128,Oklahoma City Thunder,99,0
New Orleans Pelicans,106,Los Angeles Clippers,111,1
Portland Trail Blazers,132,Sacramento Kings,126,0
Miami Heat,108,Philadelphia 76ers,125,1
Houston Rockets,109,San Antonio Spurs,105,0
Charlotte Hornets,108,Toronto Raptors,111,1
Golden State Warriors,104,Denver Nuggets,114,1
Indiana Pacers,111,Portland Trail Blazers,87,0
Orlando Magic,97,Boston Celtics,124,1
New York Knicks,103,Cleveland Cavaliers,106,1
Dallas Mavericks,109,Milwaukee Bucks,112,1
Chicago Bulls,125,Oklahoma City Thunder,127,1
Atlanta Hawks,92,Utah Jazz,116,1
New Orleans Pelicans,95,Los Angeles Lakers,112,1
Los Angeles Clippers,138,Sacramento Kings,100,0
Houston Rockets,91,San Antonio Spurs,103,1
Orlando Magic,115,Brooklyn Nets,122,1
Charlotte Hornets,113,Toronto Raptors,116,1
Philadelphia 76ers,104,Memphis Grizzlies,106,1
Detroit Pistons,120,Miami Heat,100,0
Atlanta Hawks,106,Portland Trail Blazers,112,1
New York Knicks,105,Boston Celtics,75,0
Chicago Bulls,117,Dallas Mavericks,101,0
Utah Jazz,109,Denver Nuggets,105,0
New Orleans Pelicans,128,Sacramento Kings,123,0
Indiana Pacers,96,Los Angeles Clippers,129,1
Orlando Magic,84,New York Knicks,91,1
Minnesota Timberwolves,97,Atlanta Hawks,108,1
San Antonio Spurs,125,Portland Trail Blazers,104,0
Phoenix Suns,104,Memphis Grizzlies,108,1
Milwaukee Bucks,123,Brooklyn Nets,125,1
Dallas Mavericks,93,Toronto Raptors,116,1
Houston Rockets,120,Chicago Bulls,125,1
Detroit Pistons,107,Miami Heat,113,1
Golden State Warriors,115,Los Angeles Lakers,113,0
Oklahoma City Thunder,101,Denver Nuggets,119,1
New Orleans Pelicans,102,Utah Jazz,118,1
Brooklyn Nets,135,Cleveland Cavaliers,147,1
Dallas Mavericks,124,Indiana Pacers,112,0
Boston Celtics,109,Philadelphia 76ers,117,1
Detroit Pistons,115,Atlanta Hawks,123,1
Miami Heat,111,Toronto Raptors,102,0
Orlando Magic,97,Minnesota Timberwolves,96,0
Phoenix Suns,109,Houston Rockets,103,0
San Antonio Spurs,99,Golden State Warriors,121,1
Sacramento Kings,96,Los Angeles Clippers,115,1
Los Angeles Lakers,113,Milwaukee Bucks,106,0
New York Knicks,119,Golden State Warriors,104,0
New Orleans Pelicans,118,Utah Jazz,129,1
Chicago Bulls,123,Charlotte Hornets,110,0
Houston Rockets,103,Detroit Pistons,102,0
Orlando Magic,118,Indiana Pacers,120,1
Brooklyn Nets,113,Cleveland Cavaliers,125,1
Boston Celtics,110,Philadelphia 76ers,122,1
Miami Heat,81,Toronto Raptors,101,1
Atlanta Hawks,116,Minnesota Timberwolves,98,0
Dallas Mavericks,122,San Antonio Spurs,117,0
Oklahoma City Thunder,106,Los Angeles Clippers,120,1
Denver Nuggets,130,Phoenix Suns,126,0
New York Knicks,94,Sacramento Kings,103,1
Miami Heat,124,Brooklyn Nets,128,1
Philadelphia 76ers,114,Detroit Pistons,110,0
New Orleans Pelicans,110,Minnesota Timberwolves,120,1
Los Angeles Lakers,101,Chicago Bulls,90,0
Houston Rockets,133,Dallas Mavericks,108,0
Denver Nuggets,120,Phoenix Suns,112,0
Golden State Warriors,108,Utah Jazz,127,1
Toronto Raptors,107,Indiana Pacers,102,0
Oklahoma City Thunder,100,Los Angeles Clippers,108,1
Cleveland Cavaliers,103,Boston Celtics,141,1
Charlotte Hornets,107,Orlando Magic,104,0
Atlanta Hawks,115,Milwaukee Bucks,129,1
Washington Wizards,101,San Antonio Spurs,121,1
New York Knicks,113,Portland Trail Blazers,116,1
Philadelphia 76ers,104,Detroit Pistons,119,1
Toronto Raptors,114,Indiana Pacers,129,1
Charlotte Hornets,108,Orlando Magic,117,1
Miami Heat,85,Brooklyn Nets,98,1
Los Angeles Lakers,115,Cleveland Cavaliers,108,0
Denver Nuggets,117,Dallas Mavericks,113,0
Boston Celtics,119,Chicago Bulls,103,0
Minnesota Timberwolves,108,Golden State Warriors,130,1
Oklahoma City Thunder,125,Portland Trail Blazers,122,0
Los Angeles Clippers,99,Atlanta Hawks,108,1
Washington Wizards,88,Houston Rockets,107,1
New York Knicks,94,Utah Jazz,108,1
Indiana Pacers,116,Charlotte Hornets,106,0
Detroit Pistons,107,Cleveland Cavaliers,122,1
Sacramento Kings,121,Orlando Magic,107,0
Brooklyn Nets,132,Atlanta Hawks,128,0
Denver Nuggets,109,Miami Heat,82,0
Los Angeles Lakers,106,Philadelphia 76ers,107,1
Milwaukee Bucks,115,Toronto Raptors,108,0
Boston Celtics,106,San Antonio Spurs,110,1
Washington Wizards,106,New Orleans Pelicans,124,1
Oklahoma City Thunder,102,Phoenix Suns,97,0
Dallas Mavericks,104,Utah Jazz,116,1
Minnesota Timberwolves,111,Golden State Warriors,123,1
Portland Trail Blazers,101,Houston Rockets,104,1
Los Angeles Lakers,92,Detroit Pistons,107,1
Los Angeles Clippers,109,Miami Heat,105,0
Golden State Warriors,93,Phoenix Suns,114,1
Indiana Pacers,105,Charlotte Hornets,108,1
Atlanta Hawks,116,Washington Wizards,100,0
Milwaukee Bucks,126,New Orleans Pelicans,131,1
Cleveland Cavaliers,81,New York Knicks,102,1
Sacramento Kings,126,Toronto Raptors,124,0
Philadelphia 76ers,118,Minnesota Timberwolves,94,0
Brooklyn Nets,147,Oklahoma City Thunder,125,0
Los Angeles Clippers,116,Orlando Magic,90,0
Denver Nuggets,109,San Antonio Spurs,119,1
Dallas Mavericks,101,Utah Jazz,120,1
Portland Trail Blazers,123,Chicago Bulls,122,0
Milwaukee Bucks,114,Charlotte Hornets,126,1
Sacramento Kings,104,Miami Heat,105,1
Houston Rockets,126,New Orleans Pelicans,112,0
Los Angeles Lakers,96,Boston Celtics,95,0
Memphis Grizzlies,129,San Antonio Spurs,112,0
Phoenix Suns,111,Dallas Mavericks,105,0
Detroit Pistons,91,Golden State Warriors,118,1
Los Angeles Clippers,129,New York Knicks,115,0
Utah Jazz,117,Denver Nuggets,128,1
Philadelphia 76ers,119,Indiana Pacers,110,0
Orlando Magic,102,Toronto Raptors,115,1
Brooklyn Nets,146,Washington Wizards,149,1
Cleveland Cavaliers,104,Minnesota Timberwolves,109,1
Los Angeles Lakers,107,Atlanta Hawks,99,0
Charlotte Hornets,129,Miami Heat,121,0
New York Knicks,102,Chicago Bulls,110,1
Minnesota Timberwolves,98,Cleveland Cavaliers,100,1
Portland Trail Blazers,106,Milwaukee Bucks,134,1
Sacramento Kings,118,New Orleans Pelicans,109,0
Houston Rockets,136,Oklahoma City Thunder,106,0
Phoenix Suns,109,Dallas Mavericks,108,0
Memphis Grizzlies,133,San Antonio Spurs,102,0
Toronto Raptors,123,Orlando Magic,108,0
Los Angeles Clippers,120,Brooklyn Nets,124,1
Memphis Grizzlies,116,Indiana Pacers,134,1
Portland Trail Blazers,132,Washington Wizards,121,0
Boston Celtics,111,Golden State Warriors,107,0
Detroit Pistons,105,Utah Jazz,117,1
Philadelphia 76ers,118,Charlotte Hornets,111,0
Indiana Pacers,110,Milwaukee Bucks,130,1
Dallas Mavericks,122,Atlanta Hawks,116,0
New York Knicks,107,Chicago Bulls,103,0
Los Angeles Clippers,121,Cleveland Cavaliers,99,0
Washington Wizards,103,Miami Heat,100,0
Houston Rockets,87,Oklahoma City Thunder,104,1
Minnesota Timberwolves,108,San Antonio Spurs,111,1
Phoenix Suns,101,New Orleans Pelicans,123,1
Boston Celtics,111,Sacramento Kings,116,1
Utah Jazz,112,Atlanta Hawks,91,0
Golden State Warriors,147,Dallas Mavericks,116,0
Portland Trail Blazers,121,Philadelphia 76ers,105,0
Houston Rockets,115,Memphis Grizzlies,103,0
Denver Nuggets,93,Los Angeles Lakers,114,1
New Orleans Pelicans,114,Indiana Pacers,113,0
Chicago Bulls,119,Orlando Magic,123,1
Toronto Raptors,123,Brooklyn Nets,117,0
Milwaukee Bucks,123,Cleveland Cavaliers,105,0
Utah Jazz,138,Charlotte Hornets,121,0
Washington Wizards,95,Miami Heat,122,1
Minnesota Timberwolves,106,Oklahoma City Thunder,103,0
Detroit Pistons,92,Phoenix Suns,109,1
Boston Celtics,119,Los Angeles Clippers,115,0
Portland Trail Blazers,99,New York Knicks,110,1
Denver Nuggets,114,Sacramento Kings,119,1
Chicago Bulls,118,Orlando Magic,92,0
Toronto Raptors,121,Atlanta Hawks,132,1
Milwaukee Bucks,124,Cleveland Cavaliers,99,0
San Antonio Spurs,111,Houston Rockets,106,0
Minnesota Timberwolves,118,Oklahoma City Thunder,120,1
Brooklyn Nets,108,Philadelphia 76ers,124,1
Golden State Warriors,132,Dallas Mavericks,134,1
Memphis Grizzlies,109,New Orleans Pelicans,118,1
Detroit Pistons,129,Los Angeles Lakers,135,1
Washington Wizards,97,Charlotte Hornets,119,1
Utah Jazz,103,Indiana Pacers,95,0
Miami Heat,109,New York Knicks,103,0
Boston Celtics,91,Phoenix Suns,100,1
Sacramento Kings,113,Los Angeles Clippers,110,0
Houston Rockets,94,Charlotte Hornets,119,1
Washington Wizards,105,Chicago Bulls,101,0
Toronto Raptors,128,Memphis Grizzlies,113,0
Minnesota Timberwolves,122,Dallas Mavericks,127,1
Golden State Warriors,100,San Antonio Spurs,105,1
Cleveland Cavaliers,113,Phoenix Suns,119,1
Milwaukee Bucks,125,Denver Nuggets,112,0
Oklahoma City Thunder,112,Los Angeles Lakers,119,1
Brooklyn Nets,111,Detroit Pistons,122,1
New York Knicks,96,Miami Heat,98,1
Houston Rockets,101,New Orleans Pelicans,130,1
Golden State Warriors,114,San Antonio Spurs,91,0
Orlando Magic,97,Portland Trail Blazers,106,1
Philadelphia 76ers,119,Sacramento Kings,111,0
Boston Celtics,108,Utah Jazz,122,1
Toronto Raptors,137,Washington Wizards,115,0
Atlanta Hawks,117,Dallas Mavericks,118,1
Indiana Pacers,94,Brooklyn Nets,104,1
Charlotte Hornets,114,Memphis Grizzlies,130,1
Los Angeles Clippers,119,Minnesota Timberwolves,112,0
New Orleans Pelicans,116,Chicago Bulls,129,1
Cleveland Cavaliers,95,Denver Nuggets,133,1
Oklahoma City Thunder,113,Los Angeles Lakers,114,1
Milwaukee Bucks,124,Phoenix Suns,125,1
Toronto Raptors,106,Boston Celtics,120,1
Miami Heat,101,Houston Rockets,94,0
Indiana Pacers,111,Detroit Pistons,95,0
Orlando Magic,105,Golden State Warriors,111,1
Philadelphia 76ers,114,Portland Trail Blazers,118,1
Minnesota Timberwolves,114,Charlotte Hornets,120,1
New York Knicks,109,Washington Wizards,91,0
San Antonio Spurs,125,Atlanta Hawks,114,0
New Orleans Pelicans,130,Dallas Mavericks,143,1
Detroit Pistons,108,Boston Celtics,102,0
Los Angeles Clippers,125,Chicago Bulls,106,0
Oklahoma City Thunder,95,Denver Nuggets,97,1
Milwaukee Bucks,115,Utah Jazz,129,1
Memphis Grizzlies,105,Los Angeles Lakers,115,1
Cleveland Cavaliers,110,Portland Trail Blazers,129,1
Orlando Magic,123,Sacramento Kings,112,0
Philadelphia 76ers,111,Phoenix Suns,120,1
Indiana Pacers,125,Atlanta Hawks,113,0
Houston Rockets,99,New York Knicks,121,1
Brooklyn Nets,134,Golden State Warriors,117,0
